Type,Name,Latitude,Longitude,Distance (meters)
Bus_stop,Родильный комплекс №6,41.3086606,69.2856699,97.26
School,Sensus,41.3078552,69.2834842,145.46
School,Galaxy укув маркази,41.3079669,69.2832979,146.58
Bus_stop,Дворец водного спорта,41.307252,69.2849087,184.39
Bus_stop,Unnamed,41.3100367,69.2867547,224.35
Bus_stop,Родильный комплекс №6,41.3088356,69.2873585,235.35
Bus_stop,Unnamed,41.3064507,69.2836719,280.69
Bus_stop,Дворец водного спорта,41.3055625,69.2851485,372.95
Bus_stop,Городской Хокимият,41.309536,69.2795407,425.49
Station,Amir Temur xiyoboni,41.3126738,69.2832691,433.68
Bus_stop,Городской Хокимият,41.3074311,69.2788266,505.86
Bus_stop,Супермаркет Дунё,41.3131758,69.2867962,511.83
Bus_stop,Супермаркет Дунё,41.3132774,69.2865315,514.77
Bus_stop,Unnamed,41.3046302,69.281198,550.06
Station,Yunus Rajabiy,41.3138871,69.2835077,561.79
Bus_stop,Завод Фотон,41.3060921,69.2787777,574.58
Bus_stop,школа им. Успенского,41.3068385,69.2913864,616.25
Bus_stop,Школа 145,41.3037153,69.2872744,618.36
Bus_stop,Музыкальный лицей им. Успенского,41.3081634,69.2923637,659.37
Bus_stop,Школа 145,41.3035272,69.2882159,670.10
Bus_stop,Dunyo supermarketi,41.3144963,69.2875554,671.60
Bus_stop,Dunyo supermarketi,41.314591,69.2874911,679.40
Bus_stop,Markaziy Zobotlar Uyi,41.3141891,69.2803317,686.34
Bus_stop,Unnamed,41.3063503,69.2769524,695.89
Bus_stop,Uspenskiy Nomidagi Maktab,41.3074944,69.2927637,705.16
Bus_stop,Школа 145,41.3028717,69.2872454,705.50
Hospital,Станция неотложной помощи 103,41.3041808,69.2903832,715.71
Bus_stop,Музей Мухтара Ашрафи,41.3125389,69.2917572,727.02
Hospital,ГЛАЗ КЛИНИКА СТЕЛЛАРИС,41.3029698,69.2883785,731.54
Bus_stop,музей искусств,41.3032499,69.279912,736.99
Hospital,Приёмный покой,41.3021972,69.2841551,744.03
Bus_stop,145 школа,41.3026455,69.2881745,757.06
School,PrimeCoach учебный центр английского языка,41.3023426,69.2874206,765.89
Bus_stop,Uspenskiy Nomidagi Maktab,41.3070832,69.2937448,795.79
Bus_stop,Центральный дом офицеров,41.3156229,69.2808103,810.65
Bus_stop,Unnamed,41.3024061,69.2796735,827.80
Bus_stop,Мухтара Ашрафи,41.3147103,69.2907586,829.58
Bus_stop,музей исскуств,41.30264,69.2787716,846.11
School,Smart school,41.3017245,69.2809712,850.34
Bus_stop,Транспортная агенства,41.3163488,69.2817516,860.86
Bus_stop,Санаторий им. Федоровича,41.3006713,69.2837625,915.14
School,International Talent Academy,41.3130954,69.2940451,922.21
Hospital,Dr. Summit,41.3172937,69.2857078,938.35
